Car Name,Car Prices (In rupee),kms Driven,Fuel Type,Transmission,Ownership,Manufacture,Engine,Seats
Hyundai i20 1.2 Magna Opt,2.43 Lakh,"84,557 kms",Petrol,Manual,1st Owner,2011,1997 cc,7 Seats
Maruti Ciaz VDi Option SHVS,5.36 Lakh,"96,528 kms",Diesel,Manual,1st Owner,2017,999 cc,5 Seats
Mahindra XUV500 W10 1.99 mHawk,11.24 Lakh,"44,081 kms",Diesel,Manual,1st Owner,2017,1248 cc,5 Seats
Renault Kiger RXT AMT,7.75 Lakh,"6,494 kms",Petrol,Automatic,1st Owner,2021,998 cc,5 Seats
Maruti Swift VDI BSIV,3.40 Lakh,"1,18,631 kms",Diesel,Manual,1st Owner,2014,1198 cc,5 Seats
Maruti Alto K10 VXI,3.51 Lakh,"47,133 kms",Petrol,Manual,1st Owner,2018,1197 cc,5 Seats
Honda Amaze S i-VTEC,4.56 Lakh,"94,025 kms",Petrol,Manual,1st Owner,2017,998 cc,5 Seats
Hyundai i20 Magna 1.2,5.02 Lakh,"68,841 kms",Petrol,Manual,1st Owner,2016,1582 cc,5 Seats
Hyundai Venue SX Plus Turbo DCT BSIV,10.46 Lakh,"31,952 kms",Petrol,Automatic,1st Owner,2019,998 cc,5 Seats
Hyundai Creta 1.6 CRDi SX,11.30 Lakh,"66,518 kms",Diesel,Manual,2nd Owner,2019,1582 cc,5 Seats
Hyundai Venue SX Plus Turbo DCT BSIV,10.53 Lakh,"26,684 kms",Petrol,Automatic,2nd Owner,2019,1199 cc,5 Seats
Hyundai Creta 1.6 CRDi SX,7.90 Lakh,"38,280 kms",Diesel,Manual,1st Owner,2015,1197 cc,5 Seats
Tata Tiago 1.2 Revotron XZ,3.77 Lakh,"96,392 kms",Petrol,Manual,1st Owner,2017,2179 cc,7 Seats
Maruti Swift Dzire 1.2 ZXi BSIV,2.86 Lakh,"92,613 kms",Petrol,Manual,1st Owner,2011,1498 cc,5 Seats
Mahindra Scorpio S7 120,11.78 Lakh,"40,011 kms",Diesel,Manual,1st Owner,2018,1396 cc,5 Seats
Honda City i DTEC VX,5.33 Lakh,"98,772 kms",Diesel,Manual,2nd Owner,2015,1248 cc,5 Seats
Hyundai i20 Asta 1.4 CRDi,3.50 Lakh,"38,931 kms",Diesel,Manual,1st Owner,2013,1396 cc,5 Seats
Maruti Swift LDI BSIV,4.27 Lakh,"82,392 kms",Diesel,Manual,1st Owner,2017,2179 cc,7 Seats
Hyundai i20 1.4 Asta,5.72 Lakh,"96,805 kms",Diesel,Manual,1st Owner,2017,998 cc,5 Seats
Mahindra Scorpio S5 BSIV,9.98 Lakh,"68,307 kms",Diesel,Manual,1st Owner,2018,1197 cc,5 Seats
Maruti Wagon R LXI BS IV,3.75 Lakh,"30,404 kms",Petrol,Manual,1st Owner,2016,1248 cc,5 Seats
Maruti Baleno 1.2 Alpha,6.30 Lakh,"36,438 kms",Petrol,Manual,2nd Owner,2018,2179 cc,7 Seats
Maruti Swift VDI BSIV,3.76 Lakh,"1,15,206 kms",Diesel,Manual,1st Owner,2015,1451 cc,5 Seats
Mahindra XUV500 W6 2WD,6.23 Lakh,"1,04,537 kms",Diesel,Manual,1st Owner,2015,2755 cc,7 Seats
MG Hector Sharp DCT,16.13 Lakh,"29,827 kms",Petrol,Automatic,2nd Owner,2019,1968 cc,5 Seats
Toyota Innova Crysta 2.8 GX AT BSIV,15.75 Lakh,"55,000 kms",Diesel,Automatic,1st Owner,2017,3198 cc,7 Seats
Audi A6 35 TDI,24.50 Lakh,"68,000 kms",Diesel,Automatic,1st Owner,2016,2755 cc,7 Seats
Ford Endeavour 3.2 Titanium AT 4X4,28.75 Lakh,"80,000 kms",Diesel,Automatic,1st Owner,2018,814 cc,5 Seats
Toyota Innova Crysta 2.8 GX AT BSIV,19.45 Lakh,"55,000 kms",Diesel,Automatic,1st Owner,2019,1497 cc,5 Seats
Hyundai EON Era Plus,2.30 Lakh,"67,885 kms",Petrol,Manual,1st Owner,2013,998 cc,5 Seats
Kia Seltos HTX IVT G,16.50 Lakh,"28,000 kms",Petrol,Automatic,1st Owner,2021,1197 cc,5 Seats
Hyundai EON 1.0 Era Plus,2.30 Lakh,"48,421 kms",Petrol,Manual,1st Owner,2013,1582 cc,5 Seats
Maruti Swift Dzire VXI,4.25 Lakh,"49,000 kms",Petrol,Manual,1st Owner,2014,1995 cc,5 Seats
Hyundai Verna 1.6 SX,4.50 Lakh,"75,000 kms",Diesel,Manual,1st Owner,2013,1198 cc,5 Seats
BMW 5 Series 520d Sport Line,40.50 Lakh,"55,000 kms",Diesel,Automatic,2nd Owner,2018,1493 cc,5 Seats
Honda Amaze S Option i-VTEC,4.71 Lakh,"6,357 kms",Petrol,Manual,1st Owner,2017,1199 cc,5 Seats
Hyundai Venue SX Opt Executive Diesel,10.24 Lakh,"24,237 kms",Diesel,Manual,1st Owner,2022,2755 cc,7 Seats
Honda Amaze E Petrol,5.89 Lakh,"10,282 kms",Petrol,Manual,1st Owner,2020,1396 cc,5 Seats
Toyota Innova Crysta 2.8 ZX AT BSIV,17.10 Lakh,"1,11,337 kms",Diesel,Automatic,1st Owner,2018,1582 cc,5 Seats
Hyundai Venue SX Opt Diesel BSIV,9.82 Lakh,"64,104 kms",Diesel,Manual,1st Owner,2019,1968 cc,5 Seats
Hyundai Verna 1.6 CRDi SX,5.60 Lakh,"42,234 kms",Diesel,Manual,2nd Owner,2016,1197 cc,5 Seats
Audi Q5 30 TDI quattro Premium,14.75 Lakh,"80,000 kms",Diesel,Automatic,3rd Owner,2015,1197 cc,5 Seats
Maruti Ignis Sigma,5.02 Lakh,"2,294 kms",Petrol,Manual,1st Owner,2022,1396 cc,5 Seats
Maruti Baleno Delta,6.31 Lakh,"38,736 kms",Petrol,Manual,1st Owner,2020,998 cc,5 Seats
Hyundai i20 Asta 1.4 CRDi,3.81 Lakh,"1,30,432 kms",Diesel,Manual,1st Owner,2014,2694 cc,7 Seats
Hyundai Venue SX Opt iMT,11.50 Lakh,"10,000 kms",Petrol,Manual,1st Owner,2021,2967 cc,5 Seats
Toyota Fortuner 2.7 2WD AT,31 Lakh,"44,000 kms",Petrol,Automatic,2nd Owner,2019,1086 cc,5 Seats
Audi Q5 3.0 TDI Quattro,9.95 Lakh,"68,000 kms",Diesel,Automatic,3rd Owner,2011,2967 cc,5 Seats
Hyundai i10 Magna 1.1L,2.25 Lakh,"38,000 kms",Petrol,Manual,1st Owner,2011,1197 cc,5 Seats
Audi Q5 3.0 TDI Quattro Technology,21 Lakh,"35,000 kms",Diesel,Automatic,1st Owner,2015,2179 cc,7 Seats
Maruti Swift Dzire VXI 1.2 BS IV,6.50 Lakh,"65,000 kms",Petrol,Manual,1st Owner,2019,1582 cc,5 Seats
Mahindra Scorpio S5,15.85 Lakh,"12,001 kms",Diesel,Manual,1st Owner,2022,2967 cc,7 Seats
Hyundai Creta 1.6 SX Automatic Diesel,14.25 Lakh,"36,000 kms",Diesel,Automatic,2nd Owner,2020,1969 cc,5 Seats
Audi Q7 45 TDI Quattro Premium Plus,18.75 Lakh,"43,000 kms",Diesel,Automatic,2nd Owner,2014,1968 cc,5 Seats
Volvo XC60 Inscription D5,60 Lakh,"7,500 kms",Diesel,Automatic,1st Owner,2020,1798 cc,5 Seats
Audi Q3 2.0 TDI Quattro Premium Plus,13 Lakh,"56,500 kms",Diesel,Automatic,1st Owner,2014,1582 cc,5 Seats
Audi A6 35 TFSI Matrix,36.75 Lakh,"30,000 kms",Petrol,Automatic,1st Owner,2018,1950 cc,5 Seats
Hyundai Verna CRDi 1.6 AT SX Plus,10 Lakh,"63,500 kms",Diesel,Automatic,1st Owner,2017,1995 cc,5 Seats
Mercedes-Benz C-Class Progressive C 220d,41 Lakh,"26,500 kms",Diesel,Automatic,1st Owner,2019,2179 cc,7 Seats
BMW X1 xDrive 20d xLine,28.50 Lakh,"38,500 kms",Diesel,Automatic,1st Owner,2018,1498 cc,5 Seats
Mahindra XUV500 R W10 FWD,8.90 Lakh,"65,000 kms",Diesel,Manual,1st Owner,2015,1493 cc,5 Seats
Honda Amaze VX CVT Diesel,9.25 Lakh,"44,500 kms",Diesel,Automatic,1st Owner,2019,2993 cc,5 Seats
Hyundai i20 Sportz Diesel,9.75 Lakh,"15,500 kms",Diesel,Manual,1st Owner,2022,1991 cc,5 Seats
BMW X5 xDrive 30d xLine,1 Crore,"20,500 kms",Diesel,Automatic,1st Owner,2022,1995 cc,5 Seats
Mercedes-Benz E-Class Expression E 200 BSIV,44 Lakh,"65,000 kms",Petrol,Automatic,1st Owner,2018,2143 cc,5 Seats
BMW 3 Series 320d GT Luxury Line,18.50 Lakh,"64,593 kms",Diesel,Automatic,3rd Owner,2014,2755 cc,7 Seats
Mercedes-Benz E-Class E250 CDI Avantgarde,22 Lakh,"63,203 kms",Diesel,Automatic,2nd Owner,2015,1995 cc,4 Seats
Toyota Fortuner 2.8 2WD AT,29 Lakh,"60,500 kms",Diesel,Automatic,1st Owner,2017,1248 cc,7 Seats
BMW 6 Series GT 620d Luxury Line 2019-2021,60.50 Lakh,"50,000 kms",Diesel,Automatic,1st Owner,2020,796 cc,5 Seats
Maruti Ertiga ZDI,6 Lakh,"43,000 kms",Diesel,Manual,2nd Owner,2014,2987 cc,7 Seats
Maruti Alto 800 LXI,3.07 Lakh,"31,458 kms",Petrol,Manual,1st Owner,2021,1582 cc,5 Seats
Mercedes-Benz GLS 350d 4MATIC,52 Lakh,"70,000 kms",Diesel,Automatic,2nd Owner,2016,998 cc,5 Seats
Hyundai Elantra CRDi S,5.25 Lakh,"70,372 kms",Diesel,Manual,1st Owner,2013,624 cc,4 Seats
Maruti Wagon R LXI CNG,1.90 Lakh,"1,29,325 kms",Cng,Manual,1st Owner,2012,1991 cc,5 Seats
Tata Nano Twist XT,"85,671","59,290 kms",Petrol,Manual,4th Owner,2015,2993 cc,5 Seats
Mercedes-Benz GLC 200,61 Lakh,"15,000 kms",Petrol,Automatic,1st Owner,2021,1968 cc,5 Seats
BMW X6 xDrive 40d M Sport,37.90 Lakh,"75,000 kms",Diesel,Automatic,2nd Owner,2015,2143 cc,5 Seats
Audi Q5 2.0 TDI Premium Plus,16 Lakh,"94,002 kms",Diesel,Automatic,2nd Owner,2014,2494 cc,5 Seats
Mercedes-Benz C-Class C 220 CDI Avantgarde,11.90 Lakh,"90,004 kms",Diesel,Automatic,3rd Owner,2014,2993 cc,5 Seats
Toyota Camry 2.5 Hybrid,23.50 Lakh,"47,000 kms",Petrol,Automatic,1st Owner,2017,1498 cc,5 Seats
BMW X5 xDrive 30d M Sport,29 Lakh,"83,005 kms",Diesel,Automatic,2nd Owner,2014,1595 cc,5 Seats
Ford Ecosport 1.5 Diesel Titanium,4.75 Lakh,"62,500 kms",Diesel,Manual,1st Owner,2015,2143 cc,5 Seats
Mercedes-Benz B Class B180 Sports,12.90 Lakh,"67,000 kms",Petrol,Automatic,2nd Owner,2013,1197 cc,5 Seats
Mercedes-Benz GLE 250d,36.50 Lakh,"64,000 kms",Diesel,Automatic,1st Owner,2016,2967 cc,4 Seats
Maruti Swift ZXI BSIV,4.41 Lakh,"39,889 kms",Petrol,Manual,2nd Owner,2017,1997 cc,5 Seats
Audi A8 L 50 TDI Quattro Premium Plus,42 Lakh,"81,250 kms",Diesel,Automatic,1st Owner,2015,1498 cc,5 Seats
Jaguar F-Pace 2.0 R-Dynamic S Diesel,74 Lakh,"9,900 kms",Diesel,Automatic,1st Owner,2021,1498 cc,5 Seats
Ford Ecosport 1.5 Diesel Titanium Plus,5.25 Lakh,"43,000 kms",Diesel,Manual,1st Owner,2016,1998 cc,5 Seats
MG Astor Sharp CVT,17.25 Lakh,"2,400 kms",Petrol,Automatic,1st Owner,2022,2993 cc,4 Seats
BMW X4 xDrive30i M Sport Silver Shadow Edition,74.50 Lakh,"7,600 kms",Petrol,Automatic,1st Owner,2022,1798 cc,5 Seats
Jaguar XJ 3.0L LWB Ultimate,22.90 Lakh,"79,004 kms",Diesel,Automatic,2nd Owner,2012,2143 cc,5 Seats
Toyota Corolla Altis VL AT,8.75 Lakh,"99,300 kms",Petrol,Automatic,2nd Owner,2015,2987 cc,5 Seats
Mercedes-Benz M-Class ML 250 CDI,21.90 Lakh,"80,000 kms",Diesel,Automatic,2nd Owner,2014,4367 cc,5 Seats
Mercedes-Benz S-Class S 350 CDI,51 Lakh,"40,000 kms",Diesel,Automatic,1st Owner,2015,1968 cc,5 Seats
Land Rover Range Rover Vogue SE 4.4 SDV8,35.25 Lakh,"87,002 kms",Diesel,Automatic,2nd Owner,2013,1968 cc,5 Seats
Audi Q5 2.0 TDI Premium Plus,14.25 Lakh,"94,002 kms",Diesel,Automatic,2nd Owner,2013,2487 cc,5 Seats
Audi A6 2.0 TDI Premium Plus,14.25 Lakh,"82,005 kms",Diesel,Automatic,2nd Owner,2013,4367 cc,5 Seats
Toyota Camry Hybrid 2.5,40.90 Lakh,"20,000 kms",Petrol,Automatic,1st Owner,2019,1998 cc,5 Seats
Land Rover Range Rover Vogue SE 4.4 SDV8,39.75 Lakh,"95,004 kms",Diesel,Automatic,1st Owner,2013,1498 cc,5 Seats
BMW X1 sDrive20i xLine,28.10 Lakh,"68,753 kms",Petrol,Automatic,2nd Owner,2019,1956 cc,5 Seats
Ford Ecosport 1.5 DV5 MT Titanium,4.75 Lakh,"62,500 kms",Diesel,Manual,1st Owner,2015,1582 cc,5 Seats
Jeep Compass 2.0 Sport Plus BSIV,15.75 Lakh,"62,000 kms",Diesel,Manual,1st Owner,2019,1498 cc,5 Seats
Hyundai Creta 1.6 CRDi AT S Plus,8.95 Lakh,"85,000 kms",Diesel,Automatic,1st Owner,2017,1248 cc,5 Seats
Honda WR-V i-DTEC VX,6.99 Lakh,"58,000 kms",Diesel,Manual,1st Owner,2017,2143 cc,5 Seats
Maruti Baleno 1.3 Zeta,6.20 Lakh,"55,500 kms",Diesel,Manual,1st Owner,2018,1248 cc,5 Seats
Mercedes-Benz GLE 250d,44 Lakh,"49,000 kms",Diesel,Automatic,1st Owner,2017,1956 cc,5 Seats
Maruti Baleno 1.3 Zeta,6.25 Lakh,"54,000 kms",Diesel,Manual,1st Owner,2018,1956 cc,5 Seats
Tata Harrier XM,12.50 Lakh,"32,500 kms",Diesel,Manual,1st Owner,2019,1950 cc,5 Seats
Tata Harrier XM,12.60 Lakh,"33,500 kms",Diesel,Manual,1st Owner,2019,0 cc,5 Seats
Mercedes-Benz E-Class Expression E 220 d BSIV,58 Lakh,"17,000 kms",Diesel,Automatic,1st Owner,2020,1950 cc,5 Seats
MG ZS EV Exclusive,21.10 Lakh,"38,000 kms",Electric,Automatic,1st Owner,2020,1950 cc,5 Seats
Mercedes-Benz C-Class Progressive C 200,36.50 Lakh,"16,500 kms",Petrol,Automatic,1st Owner,2018,1998 cc,5 Seats
Mercedes-Benz E-Class Exclusive E 220d,76.25 Lakh,"2,000 kms",Diesel,Automatic,1st Owner,2022,1950 cc,5 Seats
Mini Cooper D,18.90 Lakh,"29,000 kms",Diesel,Automatic,2nd Owner,2014,1197 cc,5 Seats
Mercedes-Benz C-Class Progressive C 220d,39 Lakh,"24,000 kms",Diesel,Automatic,2nd Owner,2020,1995 cc,5 Seats
Maruti Swift LXI,4.83 Lakh,"37,229 kms",Petrol,Manual,1st Owner,2020,2179 cc,7 Seats
BMW X3 xDrive 20d Luxury Line,60 Lakh,"19,000 kms",Diesel,Automatic,1st Owner,2021,1968 cc,5 Seats
Mahindra XUV500 W6 2WD,4.31 Lakh,"90,928 kms",Diesel,Manual,1st Owner,2013,1373 cc,7 Seats
Audi A3 35 TDI Premium Plus,25.80 Lakh,"39,000 kms",Diesel,Automatic,1st Owner,2020,1950 cc,5 Seats
Maruti Ertiga VXI CNG,7.25 Lakh,"44,000 kms",Cng,Manual,1st Owner,2016,1399 cc,5 Seats
Mercedes-Benz C-Class Progressive C 200,49.90 Lakh,"12,000 kms",Petrol,Automatic,1st Owner,2021,1497 cc,5 Seats
Ford Figo Diesel Titanium,1.93 Lakh,"86,483 kms",Diesel,Manual,3rd Owner,2014,1598 cc,5 Seats
Honda City Edge Edition SV,9 Lakh,"20,000 kms",Petrol,Manual,1st Owner,2019,1950 cc,5 Seats
Renault Duster Petrol RxL,5.75 Lakh,"49,000 kms",Petrol,Manual,2nd Owner,2017,2755 cc,7 Seats
Mercedes-Benz C-Class Progressive C 200,47.90 Lakh,"12,000 kms",Petrol,Automatic,1st Owner,2021,1197 cc,5 Seats
Toyota Innova Crysta 2.8 GX AT BSIV,18.75 Lakh,"26,000 kms",Diesel,Automatic,1st Owner,2018,1248 cc,5 Seats
Toyota Glanza G,6.06 Lakh,"40,252 kms",Petrol,Manual,1st Owner,2020,1997 cc,5 Seats
Maruti Swift VDI BSIV,3.23 Lakh,"97,947 kms",Diesel,Manual,2nd Owner,2014,1582 cc,5 Seats
Land Rover Range Rover Velar R-Dynamic S Petrol MY21,85 Lakh,"38,000 kms",Petrol,Automatic,1st Owner,2020,1197 cc,5 Seats
Hyundai Creta 1.6 CRDi AT SX Plus,7.16 Lakh,"1,50,715 kms",Diesel,Automatic,1st Owner,2015,1968 cc,5 Seats
Hyundai i10 Sportz,1.58 Lakh,"1,02,820 kms",Petrol,Manual,1st Owner,2010,1996 cc,7 Seats
Skoda New Laura Ambiente 2.0 TDI CR AT,2.53 Lakh,"1,09,403 kms",Diesel,Automatic,3rd Owner,2012,1462 cc,7 Seats
MG Gloster Savvy 7-Str,39.65 Lakh,"11,000 kms",Diesel,Automatic,2nd Owner,2021,1197 cc,5 Seats
Maruti Ertiga VXI AT,8.58 Lakh,"37,377 kms",Petrol,Automatic,1st Owner,2019,1461 cc,5 Seats
Maruti Swift Dzire VXI,3.67 Lakh,"84,728 kms",Petrol,Manual,2nd Owner,2015,1969 cc,5 Seats
Renault Duster 85PS Diesel RxE,3.24 Lakh,"53,548 kms",Diesel,Manual,2nd Owner,2013,1968 cc,5 Seats
Volvo S90 D4 Inscription BSIV,44.75 Lakh,"20,000 kms",Diesel,Automatic,1st Owner,2018,1197 cc,5 Seats
Audi A6 2.0 TDI,16.19 Lakh,"29,397 kms",Diesel,Automatic,1st Owner,2014,1997 cc,7 Seats
Hyundai Grand i10 Asta,4.06 Lakh,"30,346 kms",Petrol,Manual,1st Owner,2016,1248 cc,5 Seats
Mahindra XUV500 W10 1.99 mHawk,10.63 Lakh,"42,119 kms",Diesel,Manual,1st Owner,2017,1248 cc,5 Seats
Maruti Swift Dzire VDI,3.27 Lakh,"1,20,450 kms",Diesel,Manual,2nd Owner,2014,1451 cc,5 Seats
Maruti Swift LDI BSIV,2.67 Lakh,"1,48,393 kms",Diesel,Manual,3rd Owner,2014,2993 cc,5 Seats
MG Hector Hybrid Sharp MT,13.39 Lakh,"21,549 kms",Petrol,Manual,1st Owner,2020,1248 cc,5 Seats
BMW X5 xDrive 30d,29.75 Lakh,"85,000 kms",Diesel,Automatic,2nd Owner,2015,1799 cc,5 Seats
Maruti Vitara Brezza VDi Option,5.90 Lakh,"90,468 kms",Diesel,Manual,1st Owner,2016,1497 cc,5 Seats
Honda Civic ZX BSIV,15.56 Lakh,"20,900 kms",Petrol,Automatic,1st Owner,2019,1950 cc,5 Seats
Hyundai Creta SX,13.87 Lakh,"19,234 kms",Petrol,Manual,1st Owner,2021,1497 cc,5 Seats
Mercedes-Benz GLC Coupe 300d 4MATIC,71.50 Lakh,"24,900 kms",Diesel,Automatic,1st Owner,2021,1493 cc,5 Seats
Tata Nexon 1.5 Revotorq XZA Plus DualTone,8.75 Lakh,"73,269 kms",Diesel,Automatic,1st Owner,2018,1353 cc,5 Seats
Kia Seltos HTX Plus D,15.25 Lakh,"48,101 kms",Diesel,Manual,1st Owner,2020,1997 cc,5 Seats
Kia Seltos GTX Plus,14.95 Lakh,"24,001 kms",Petrol,Manual,1st Owner,2020,1999 cc,7 Seats
Jaguar XF 2.0 Petrol Prestige,47 Lakh,"7,500 kms",Petrol,Automatic,1st Owner,2020,1956 cc,5 Seats
Hyundai Alcazar Platinum 7-Seater,19.49 Lakh,"9,701 kms",Petrol,Manual,1st Owner,2022,999 cc,5 Seats
Tata Harrier XZA AT,19.90 Lakh,"27,133 kms",Diesel,Automatic,1st Owner,2021,4461 cc,7 Seats
Renault KWID Climber 1.0 AMT Opt,5.25 Lakh,"18,270 kms",Petrol,Automatic,1st Owner,2022,1373 cc,5 Seats
Toyota Land Cruiser VX,1.58 Crore,"56,000 kms",Diesel,Automatic,1st Owner,2018,1197 cc,5 Seats
Maruti Ciaz VXi,5.50 Lakh,"50,001 kms",Petrol,Manual,1st Owner,2015,1197 cc,5 Seats
Maruti Swift VXI 2018,5.60 Lakh,"56,681 kms",Petrol,Manual,1st Owner,2018,1197 cc,5 Seats
Maruti Baleno Alpha,9.80 Lakh,"2,755 kms",Petrol,Manual,1st Owner,2022,2179 cc,7 Seats
Maruti Baleno 1.2 Alpha,6.50 Lakh,"46,201 kms",Petrol,Manual,1st Owner,2017,1197 cc,5 Seats
Mahindra XUV500 W10 2WD,9.50 Lakh,"85,001 kms",Diesel,Manual,1st Owner,2016,1993 cc,5 Seats
Hyundai Grand i10 AT Asta,4.65 Lakh,"64,836 kms",Petrol,Automatic,1st Owner,2015,1197 cc,5 Seats
Mercedes-Benz C-Class C 220d,62 Lakh,"4,000 kms",Diesel,Automatic,1st Owner,2022,1353 cc,5 Seats
Hyundai Grand i10 Nios AMT Sportz,6.90 Lakh,"24,057 kms",Petrol,Automatic,1st Owner,2020,1956 cc,7 Seats
Hyundai Creta SX Turbo Dualtone,16.95 Lakh,"49,559 kms",Petrol,Automatic,1st Owner,2020,1497 cc,5 Seats
Tata New Safari XZA Plus AT,23.50 Lakh,"10,289 kms",Diesel,Automatic,1st Owner,2022,1956 cc,5 Seats
Honda City i VTEC CVT VX,7.75 Lakh,"64,000 kms",Petrol,Automatic,1st Owner,2016,1451 cc,5 Seats
MG Hector Smart Diesel MT BSIV,14.50 Lakh,"54,001 kms",Diesel,Manual,2nd Owner,2019,1798 cc,5 Seats
MG Hector Sharp DCT,18.25 Lakh,"27,779 kms",Petrol,Automatic,1st Owner,2021,1396 cc,5 Seats
Skoda Octavia 1.8 TSI AT Style Plus,13.49 Lakh,"70,000 kms",Petrol,Automatic,1st Owner,2017,2499 cc,5 Seats
Hyundai Creta 1.4 CRDi S,8.35 Lakh,"70,000 kms",Diesel,Manual,1st Owner,2017,1498 cc,5 Seats
Lexus NX 300h Luxury,48 Lakh,"49,000 kms",Petrol,Automatic,1st Owner,2019,2925 cc,5 Seats
Volkswagen Polo 1.5 TDI Trendline,4.10 Lakh,"1,15,000 kms",Diesel,Manual,1st Owner,2016,1462 cc,6 Seats
Mercedes-Benz S-Class S 350 d,47.75 Lakh,"13,000 kms",Diesel,Automatic,2nd Owner,2014,1353 cc,5 Seats
Maruti XL6 Alpha AT,12 Lakh,"35,000 kms",Petrol,Automatic,1st Owner,2021,1798 cc,5 Seats
Kia Seltos GTX Plus DCT,18.95 Lakh,"3,900 kms",Petrol,Automatic,2nd Owner,2021,2925 cc,7 Seats
Toyota Corolla Altis G AT,8.95 Lakh,"63,000 kms",Petrol,Automatic,1st Owner,2014,1968 cc,5 Seats
Mercedes-Benz GLS 400d 4MATIC,1.17 Crore,"15,000 kms",Diesel,Automatic,2nd Owner,2020,2143 cc,5 Seats
Audi A4 2.0 TDI,11.49 Lakh,"60,000 kms",Diesel,Automatic,1st Owner,2014,1998 cc,5 Seats
Mercedes-Benz C-Class C 220 CDI Avantgarde,12.45 Lakh,"23,000 kms",Diesel,Automatic,1st Owner,2013,2993 cc,5 Seats
BMW 5 Series 530i M Sport,66 Lakh,"6,000 kms",Petrol,Automatic,1st Owner,2022,1968 cc,5 Seats
BMW X5 xDrive 30d xLine,83 Lakh,"25,000 kms",Diesel,Automatic,1st Owner,2020,1950 cc,5 Seats
Audi Q3 2.0 TDI Quattro Premium Plus,12.50 Lakh,"64,000 kms",Diesel,Automatic,2nd Owner,2014,1461 cc,5 Seats
Mercedes-Benz C-Class Progressive C 200,36 Lakh,"17,000 kms",Petrol,Automatic,1st Owner,2018,2184 cc,4 Seats
Renault Duster 110PS Diesel RxS AMT,6.95 Lakh,"40,000 kms",Diesel,Automatic,2nd Owner,2016,1198 cc,5 Seats
Mahindra Thar LX 4-Str Convert Top Diesel AT,18.75 Lakh,"30,000 kms",Diesel,Automatic,1st Owner,2020,1451 cc,5 Seats
Honda Brio S MT,2.60 Lakh,"79,000 kms",Petrol,Manual,1st Owner,2012,1199 cc,5 Seats
MG Hector Sharp DCT,17 Lakh,"26,000 kms",Petrol,Automatic,1st Owner,2020,2967 cc,7 Seats
Honda Amaze S Petrol,6.40 Lakh,"25,102 kms",Petrol,Manual,1st Owner,2019,1198 cc,5 Seats
Audi Q7 45 TDI Quattro Technology,46 Lakh,"65,000 kms",Diesel,Automatic,1st Owner,2017,1197 cc,5 Seats
Volkswagen Polo Petrol Comfortline 1.2L,3.90 Lakh,"35,000 kms",Petrol,Manual,1st Owner,2014,1991 cc,5 Seats
Hyundai Grand i10 Magna,3.40 Lakh,"33,000 kms",Petrol,Manual,2nd Owner,2014,2987 cc,7 Seats
Mercedes-Benz GLC 300 4MATIC Sport,48.10 Lakh,"29,000 kms",Petrol,Automatic,1st Owner,2019,1998 cc,5 Seats
Mercedes-Benz GLS 350d Grand Edition,59.50 Lakh,"45,000 kms",Diesel,Automatic,2nd Owner,2016,2499 cc,5 Seats
BMW X3 xDrive 30i Luxury Line,45 Lakh,"25,500 kms",Petrol,Automatic,1st Owner,2018,2755 cc,7 Seats
Lexus NX 300h Luxury,48.25 Lakh,"48,000 kms",Petrol,Automatic,1st Owner,2019,1995 cc,5 Seats
Toyota Fortuner 2.8 4WD MT BSIV,24.45 Lakh,"1,00,000 kms",Diesel,Manual,1st Owner,2017,1498 cc,5 Seats
BMW 5 Series 520d Luxury Line,48 Lakh,"29,000 kms",Diesel,Automatic,1st Owner,2019,1198 cc,5 Seats
Nissan Sunny XV,2.85 Lakh,"83,000 kms",Petrol,Manual,1st Owner,2012,2498 cc,7 Seats
Nissan Micra XV,2 Lakh,"57,000 kms",Petrol,Manual,1st Owner,2011,2143 cc,5 Seats
Mahindra Thar 4X4,5.90 Lakh,"59,000 kms",Diesel,Manual,2nd Owner,2014,2179 cc,5 Seats
Mercedes-Benz GLE 250d,56 Lakh,"45,000 kms",Diesel,Automatic,1st Owner,2019,2179 cc,5 Seats
Land Rover Range Rover Evoque 2.2L Prestige,25.90 Lakh,"69,000 kms",Diesel,Automatic,2nd Owner,2014,2987 cc,7 Seats
Land Rover Range Rover Evoque 2.2L Prestige,29.90 Lakh,"69,000 kms",Diesel,Automatic,1st Owner,2015,5950 cc,4 Seats
Mercedes-Benz GL-Class 350 CDI Blue Efficiency,34.90 Lakh,"79,000 kms",Diesel,Automatic,3rd Owner,2015,2143 cc,5 Seats
Bentley Flying Spur W12,68.90 Lakh,"44,000 kms",Petrol,Automatic,1st Owner,2013,2967 cc,5 Seats
Mercedes-Benz GLC 220d 4MATIC Sport,38.90 Lakh,"69,000 kms",Diesel,Automatic,1st Owner,2017,2755 cc,7 Seats
Audi A6 3.0 TDI Quattro Premium Plus,11.25 Lakh,"68,000 kms",Diesel,Automatic,2nd Owner,2013,1796 cc,5 Seats
Toyota Fortuner 2.8 2WD MT BSIV,31 Lakh,"60,000 kms",Diesel,Manual,1st Owner,2019,2477 cc,7 Seats
Mercedes-Benz C-Class C 200 CGI Elegance,8.25 Lakh,"86,000 kms",Petrol,Automatic,1st Owner,2011,1197 cc,5 Seats
Mitsubishi Pajero Sport 4X2 AT Dual Tone,16.45 Lakh,"39,000 kms",Diesel,Automatic,1st Owner,2017,1198 cc,5 Seats
